"scenario","region","subRegion","param","classLabel1","class1","classLabel2","class2","xLabel","x","vintage","units","value"
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",61.05108856
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",4.64016781000667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",2.53678324166667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",0.910532333333333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",27.9213221136667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",92.81790232
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",6.36051446059333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",1.76561926786667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",1.39571666666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",10.1996268
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",796.71009
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",64.3065793333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",116.383329333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",58.635434
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",696.840283333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",217.745795666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",72.8104226666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",87.083194
