"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",34.8602482322568
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",19.21684576
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",1705.72226366667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",861.261462098764
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",193.1154052869
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",3.4704988
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",34.491577915112
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",16.134117679
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",681.356261505333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",409.721958138113
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",133.8606291681
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",2.5614671
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",38.8895464555712
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",6.40751256399
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",877.729936086667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",444.233267994342
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",132.6583052739
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",2.9632654
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",39.9297468271824
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",7.98787183644
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",358.497947107667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",131.508139655449
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.0003896084475
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.125633585
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",9.4444192701
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",2.7122456971
