"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",0.6119635
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",20.505735054
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",0.720907783904
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",69.1717301264977
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",260.522149657587
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",31.82680874799
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",1.9283521855
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",2.32793703378
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",0.74824
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",38.7508505620544
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",2.72929944
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1149.66668447346
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1975.19925093333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.0312083496
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",3.7462708521
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",7.25091728
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",5.931118
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",43.1197977857192
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",7.577108
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",1119.0108137244
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",2092.06387133333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",151.022042496
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",3.5473108237
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",12.37720554
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",4.868166
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",40.8792002200288
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",7.82596584
