"scenario","region","subRegion","sources","x","xLabel","vintage","units","aggregate","class2","class1","classPalette1","classPalette2","origScen","origQuery","origUnits","origX","value","origValue","classLabel1","classLabel2","param"
"Baseline_NDC","EU-15","EU-15","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",1990,20.3992536,5.5634328,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",1990,1593.42018,434.56914,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",1990,128.613158666667,35.076316,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",1990,232.766658666667,63.481816,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2005,117.270868,31.982964,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2005,1393.68056666667,380.0947,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2005,435.491591333333,118.770434,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2005,145.620845333333,39.714776,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2010,174.166388,47.499924,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2010,1134.45537333333,309.39692,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2010,509.38998,138.92454,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2010,83.9341653333333,22.891136,"sector","ghg","emissGHGBySectorPowerGWPAR5"
